EN,FR,ES,CS,DE,PL
Weddell seal,Phoque de Weddell,Foca de Weddell,Tuleň Weddellův,Weddellrobbe,Foka Weddella
weevil,charançon,gorgojo,weevil,Rüsselkäfer,wołek
west highland white terrier,west highland white terrier,west highland white terrier,west highland white teriér,West Highland White Terrier,west highland white terrier
western meadowlark,alouette des champs,alondra pratense occidental,skřivan polní,westliche Wiesenlerche,skowronek łąkowy
western spotted owl,chouette tachetée de l'Ouest,búho moteado occidental,sova pálená západní,westlicher Fleckenkauz,zachodnia sowa plamista
whale,baleine,ballena,velryba,Wal,wieloryb
whale shark,requin-baleine,tiburón ballena,žralok velrybí,Walhai,rekin wielorybi
whelk,buccin,whelk,pšenice,Wellhornschnecke,okoń
whip scorpion,scorpion fouetté,escorpión látigo,škorpión s bičem,Peitschenskorpion,bicz skorpiona
whippet,whippet,whippet,whippet,Whippet,whippet
white Bengal tiger,tigre blanc du Bengale,tigre de bengala blanco,bílý bengálský tygr,weißer bengalischer Tiger,biały tygrys bengalski
white dove,colombe blanche,paloma blanca,bílá holubice,weiße Taube,biały gołąb
white pelican,pélican blanc,pelícano blanco,pelikán bílý,weißer Pelikan,biały pelikan
white rhinoceros,rhinocéros blanc,rinoceronte blanco,nosorožec bílý,Breitmaulnashorn,nosorożec biały
white tiger,tigre blanc,tigre blanco,bílý tygr,weißer tiger,biały tygrys
white-breasted nuthatch,Sittelle à poitrine blanche,trepador azul,kalous ušatý,Carolinakleiber,kowalik białogrzbiety
white-spotted dolphin,dauphin à taches blanches,delfín manchado blanco,delfín běloskvrnný,Fleckendelfin,delfin białoplamisty
white-tailed deer,cerf de Virginie,venado de cola blanca,jelenec běloocasý,Weißwedelhirsch,jeleń bielik
wild cat,chat sauvage,gato salvaje,divoká kočka,Wildkatze,dziki kot
wild dog,chien sauvage,perro salvaje,divoký pes,Wildhund,dziki pies
wildebeest,gnou,ñu,pakoně,Gnu,gnu
wolf,loup,lobo,wolf,wolf,wilk
wolverine,glouton,glotón,rosomák,Vielfraß,rosomak
wombat,wombat,wombat,wombat,Wombat,wombat
wood louse,cloporte,cochinilla,veš lesní,Holzlaus,wesz drzewna
woodchuck,marmotte,marmota,woodchuck,Murmeltier,słonina
woodland caribou,caribou des bois,caribú de bosque,lesní karibu,Waldkaribu,karibu leśne
woodpecker,pivert,pájaro carpintero,datel,Buntspecht,dzięcioł
woolly bear caterpillar,chenille de l'ours laineux,oruga del oso lanudo,housenka medvídka vlnatého,Wollknäuel-Raupe,gąsienica niedźwiedzia włochatego
woolly mammoth,mammouth laineux,mamut lanudo,mamut srstnatý,Wollmammut,mamut włochaty
woolly rhinoceros,rhinocéros laineux,rinoceronte lanudo,nosorožec srstnatý,Wollnashorn,nosorożec włochaty
working dog,chien de travail,perro de trabajo,pracovní pes,Arbeitshund,pies pracujący
worm,ver,gusano,červ,Wurm,robak
wren,roitelet,wren,wren,Zaunkönig,wren
Xenarthra (Edentata),Xenarthra (Edentata),Xenarthra (Edentata),Xenarthra (Edentata),Xenarthra (Edentata),Xenarthra (Edentata)
xenops,xenops,xenops,xenops,xenops,xenops
Xiaosaurus,Xiaosaurus,Xiaosaurus,Xiaosaurus,Xiaosaurus,Xiaosaurus
yak,yak,yak,Jak,yak,jak
yellow mealworm,ver de farine jaune,gusano amarillo,žlutá moučná žížala,Gelber Mehlwurm,mącznik żółty
yellow mongoose,mangouste jaune,mangosta amarilla,žlutá mangusta,Gelber Manguste,żółta mangusta
yellowjacket,gilet jaune,chaqueta amarilla,yellowjacket,Gelbwesten,żółta kurtka
Yorkshire terrier,Yorkshire terrier,Yorkshire terrier,Jorkšírský teriér,Yorkshire-Terrier,Yorkshire terrier
zebra,zèbre,cebra,zebra,Zebra,zebra
zebra bullhead shark,requin tacheté zébré,tiburón cebra,žralok zebrovitý,Zebra-Stierkopfhai,rekin ludojad zebra
zebra longwing butterfly,papillon zébré,mariposa ala larga cebra,motýl zebřička dlouhokřídlá,Zebra-Langflügelfalter,motyl długoskrzydły zebra
zebra swallowtail butterfly,papillon zébré,mariposa cola de golondrina cebra,motýl vlaštovičník zebřičkový,Zebra-Schwalbenschwanz-Dickkopffalter,motyl jaskółczy ogon zebry
zooplankton,zooplancton,zooplancton,zooplankton,Zooplankton,zooplankton
zorilla,zorille,zorilla,zorilla,zorilla,zorilla
zorro,zorro,zorro,zorro,zorro,zorro
